NODE_GROUP	REVERSE_INFERENCE_SCORE
GO_5	0.0337663656612
ALL_5	0.0337617831204
ALL_4	0.0733236523501
ALL_6	0.0154413510591
ACCEPT_VS_REJECT	0.0717331743368
JUNK	0.0342246447561
UNSUCCESS_MINUS_SUCCESS_STOP	0.0347091509668
CASH_FIXED	0.0155416066689
PUMPS_FIXED_MINUS_CTRL_FIXED	0.0150031875382
PUMPS_FIXED	0.0149218829517
CTRL_FIXED_MINUS_PUMPS_FIXED	0.0145613671617
DS000009	0.391404172475
DS000008	0.263298964188
ACCEPT_4	0.0724866859774
DS000001	0.329878227663
CTRL_REAL_RT_MINUS_PUMPS_REAL_RT	0.0154133638128
SUCCESS_MINUS_GO	0.0340032207674
CASH_FIXED_REAL_RT	0.0155006294115
CASH_DEMEAN	0.0154635784828
PUMPS_FIXED_REAL_RT	0.0154064383685
PUMPS_REAL_RT_MINUS_CTRL_REAL_RT	0.0154523045542
SUCCESS_STOP	0.0340712471263
CONTROL_PUMPS_FIXED_RT	0.0154177636283
REJECT_4	0.0719540988149
CTRL_DEMEAN_MINUS_PUMPS_DEMEAN	0.0149275476251
CONTROL_PUMPS_FIXED	0.0149725715365
FAILED_STOP	0.033546518006
RESPONSE_INHIBITION	0.667158153984
EXPLODE_6	0.0152240736261
EXPLODE_4	0.0725726465833
RISK_SEEKING	0.329878227663
CTRL_PUMPS_DEMEAN	0.0151309294995
PUMPS_DEMEAN	0.0152627103296
PUMPS_DEMEAN_MINUS_CTRL_DEMEAN	0.01527614676
